參與者編號,中央結算系統參與者名稱 (*即願意披露的投資者戶口持有人),地址,持股量,佔已發行股份/權證/單位百分比
B01497,永豐金證券(亞洲)有限公司,7/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG,"439,700",0.04%
B01623,大豐崑泰證券有限公司,RM 3310 33/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"378,000",0.03%
B01551,越秀証券有限公司,ROOM NOS 4917-4937 49/F SUN HUNG KAI CENTRE 30 HABOUR ROAD WAN CHAI HONG KONG,"367,100",0.03%
B01959,中泰國際證券有限公司,7/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG,"338,100",0.03%
B01275,新富證券有限公司,RM 2001-2006 COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"331,700",0.03%
B01265,華僑證券經紀 (香港) 有限公司,1/F CHUN WO COMMERCIAL CENTRE 23-29 WING WO STREET CENTRAL HONG KONG,"329,100",0.03%
B01842,交銀國際證券有限公司,11/F MAN YEE BUILDING 68 DES VOEUX ROAD CENTRAL HONG KONG,"281,200",0.02%
B02132,寶盛證券(香港)有限公司,ROOM 2801 28/F TOWER 1 THE MILLENNITY 98 HOW MING STREET KWUN TONG KOWLOON,"265,700",0.02%
B01654,中國國際金融香港證券有限公司,29/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG,"263,600",0.02%
B02176,平安證券（香港）有限公司,"UNITS 3601, 07 & 11-13 36/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG","256,400",0.02%
B01264,馬銀證券(香港)有限公司,28/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG,"235,600",0.02%
B01938,興證國際證券有限公司,32/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"234,300",0.02%
B02159,盈立證券有限公司,UNIT 2606-07 26/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL HONG KONG,"221,304",0.02%
B01459,奕豐證券(香港)有限公司,"SUITES 701-702, 706-713 TOWER 5 THE GATEWAY TSIM SHA TSUI KOWLOON","218,000",0.02%
B01181,復星國際證券有限公司,SUITE 2101-2105 21/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG,"204,500",0.01%
B02120,利弗莫爾證券有限公司,UNIT 1214A 12/F TOWER II CHEUNG SHA WAN PLAZA 833 CHEUNG SHA WAN ROAD KOWLOON,"177,400",0.01%
B02047,艾德證券期貨有限公司,21/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG,"171,800",0.01%
B01555,ABN AMRO CLEARING HONG KONG LTD,SUITE 2407-2409 LEVEL 24 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG,"170,500",0.01%
B02032,方德證券有限公司,20/F GOLDEN CENTRE 188 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"166,200",0.01%
B02102,尊嘉證券國際有限公司,RM 3502 LIPPO CENTRE TOWER 2 89 QUEENSWAY HONG KONG,"160,700",0.01%
B01649,信達國際證券有限公司,45TH FLOOR COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"150,000",0.01%
B01929,中國銀河國際證券(香港)有限公司,20/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"149,800",0.01%
B01962,中信建投(國際)証券有限公司,18/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"143,000",0.01%
B02045,AAA SECURITIES CO. LTD,SUITE 2202 22/F FU FAI COMMERCIAL CENTRE 27 HILLIER STREET SHEUNG WAN HONG KONG,"138,900",0.01%
B01373,恆豐證券有限公司,28/F TWO CHINACHEM CENTRAL 26 DES VOEUX ROAD CENTRAL HONG KONG,"136,000",0.01%
B01673,富昌證券有限公司,UNIT 2207 WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"130,400",0.01%
B01173,日發證券有限公司,LEVEL 7 28 HENNESSY ROAD WANCHAI HONG KONG,"127,100",0.01%
B01523,長雄證券有限公司,ROOMS 301-303 3/F 12 TAIKOO WAN ROAD TAIKOO SHING QUARRY BAY HONG KONG,"126,900",0.01%
B01700,滙信理財有限公司,UNIT 710-715 7/F MILLENNIUM CITY 2 378 KWUN TONG ROAD KOWLOON,"126,400",0.01%
B01900,東方證券(香港)有限公司,28/F 100 QUEEN'S ROAD CENTER 100 QRC CENTRAL HONG KONG,"125,900",0.01%
B01940,SOFI SECURITIES (HONG KONG) LTD,21/F H CODE 45 POTTINGER STREET CENTRAL HONG KONG,"116,500",0.01%
B02210,方舟集團控股(香港)有限公司,34/F TOWER TWO TIMES SQUARE 1 MATHESON STREET CAUSEWAY BAY HONG KONG,"116,100",0.01%
B01843,電訊數碼證券有限公司,UNIT 1202 12/F TELECOM DIGITAL TOWER 58 TSUN YIP STREET KWUN TONG KOWLOON,"115,900",0.01%
B01272,富銀證券(香港)有限公司,9/F FORTRESS TOWER 250 KING'S ROAD NORTH POINT HONG KONG,"112,800",0.01%
B01169,大眾金融証券有限公司,10/F PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG,"108,600",0.01%
B01814,立橋證券有限公司,UNIT 13-15 11/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,"106,400",0.00%
B01252,協聯證券有限公司,UNIT 408-409 4/F FORTRESS TOWER 250 KING'S ROAD FORTRESS HILL HONG KONG,"102,800",0.00%
B01762,星展唯高達香港有限公司,16/F ONE ISLAND EAST 18 WESTLANDS ROAD ISLAND EAST HONG KONG,"100,300",0.00%
B01338,英皇證券有限公司,23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG,"94,500",0.00%
B01564,農銀國際證券有限公司,13/F FAIRMONT HOUSE 8 COTTON TREE DRIVE CENTRAL HONG KONG,"88,700",0.00%
B02175,微牛證券有限公司,SUITES 2509-12 25/F TOWER 6 THE GATEWAY HARBOUR CITY KOWLOON,"87,900",0.00%
B01676,大盛証券投資有限公司,ROOM 801-804 HALESON BUILDING 1 JUBILEE STREET CENTRAL HONG KONG,"81,100",0.00%
B01324,FUNDERSTONE SECURITIES LTD,ROOM 1802 18/F CAPITAL CENTRE NO. 151 GLOUCESTER ROAD WANCHAI HONG KONG,"80,400",0.00%
B01915,元宇證券有限公司,SUITE 4806-07 48/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG,"79,300",0.00%
B01298,結好證券有限公司,G/F-3/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG,"78,000",0.00%
B01813,建銀國際證券有限公司,12/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"71,900",0.00%
B01413,京華山一國際(香港)有限公司,"ROOMS 1101-05 & 09-10 11/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD, WANCHAI HONG KONG","61,900",0.00%
B01289,南華證券投資有限公司,28/F BANK OF CHINA TOWER 1 GARDEN RD CENTRAL HONG KONG,"57,100",0.00%
B01119,時富證券有限公司,28/F MANHATTAN PLACE 23 WANG TAI ROAD KOWLOON BAY KOWLOON,"54,300",0.00%
B01546,和豐證券有限公司,2/F SIU YING COMM BLDG 151-155 QUEEN'S ROAD CENTRAL HONG KONG,"52,400",0.00%
B01967,雲鋒證券有限公司,ROOM 1803-1806 18/F YF LIFE CENTRE 38 GLOUCESTER ROAD WANCHAI HONG KONG,"51,200",0.00%
B02022,新質證券有限公司,ROOM 2206-2210 CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"49,400",0.00%
B01866,工銀國際證券有限公司,37/F ICBC TOWER 3 GARDEN ROAD HONG KONG,"48,800",0.00%
C00018,恒生銀行有限公司,HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"48,500",0.00%
B01848,國泰證券(香港)有限公司,RM 1001 10/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG,"47,300",0.00%
B02011,中陽證券有限公司,ROOM 1101 118 CONNAUGHT ROAD WEST HONG KONG,"45,000",0.00%
B01585,華誠證券有限公司,ROOM 601-602 6/F TAI PO COMMERCIAL CENTRE 152-172 KWONG FUK ROAD TAI PO NEW TERRITORIES,"44,300",0.00%
B01754,亞太證券有限公司,16/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG,"41,800",0.00%
B01581,滙富金融服務有限公司,7/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG,"36,300",0.00%
B01256,國金證券(香港)有限公司,UNIT 3501-08 35/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"35,200",0.00%
B01743,世博證券有限公司,FLAT B 7/F 208 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"35,100",0.00%
B01248,均益證券(國際)有限公司,"FLAT B, C & E 3/F HO LEE COMMERCIAL BUILDING 38-44 D'AGUILAR STREET CENTRAL HONG KONG","34,000",0.00%
B01198,步基證券有限公司,14/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG,"32,100",0.00%
B01567,發利證券有限公司,ROOM 1602 16/F KAI TAK COMMERCIAL BUILDING 317-319 DES VOEUX ROAD CENTRAL HONG KONG,"30,600",0.00%
B01601,群益證券(香港)有限公司,3/F 308 CENTRAL DES VOEUX 308 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"30,400",0.00%
B01714,明璣證券有限公司,28/F QUEEN'S ROAD CENTRE 152 QUEEN'S ROAD CENTRAL HONG KONG,"30,100",0.00%
B01753,富強證券有限公司,UNIT 4102-06 41/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"30,100",0.00%
B01341,東泰證券有限公司,ROOM 2501 25/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HONG KONG,"30,000",0.00%
B01809,華信證券有限公司,ROOM 1201-02 12/F TUNG HIP COMMERCIAL BUILDING 252 DES VOEUX ROAD CENTRAL HONG KONG,"30,000",0.00%
